Pallet,Weight,Profit
1,93,165
2,29,46
3,160,260
4,122,189
5,143,233
6,221,290
7,124,179
8,96,128
9,125,218
10,23,28
11,52,87
12,174,273
13,56,96
14,13,19
15,92,120
16,169,297
17,57,96
18,173,301
19,149,204
20,159,218
21,226,314
22,133,230
23,117,196
24,145,206
25,52,64
26,75,91
27,44,71
28,185,244
29,30,50
30,136,198
31,73,122
32,231,299
33,144,206
34,223,391
35,114,164
36,235,308
37,212,315
38,177,216
39,118,157
40,147,185
41,42,60
42,185,289
43,136,214
44,15,18
45,12,15
46,183,272
47,109,150
48,150,196
49,66,118
50,38,51
51,91,162
52,182,258
53,152,210
54,121,213
55,117,198
56,105,152
57,217,255
58,58,85
59,193,280
60,21,35
61,32,39
62,98,165
63,230,368
64,187,243
65,27,46
66,168,285
67,232,313
68,83,128
69,248,314
70,235,315
71,72,89
72,103,167
73,20,24
74,248,308
75,53,78
76,53,90
77,82,107
78,244,349
79,226,315
80,164,296
81,96,140
82,134,200
83,233,421
84,184,256
85,106,153
86,194,331
87,76,127
88,230,269
89,136,191
90,172,297
91,229,347
92,68,101
93,225,273
94,230,421
95,129,223
96,171,268
97,43,58
98,247,318
99,225,258
100,148,206
101,249,377
102,186,227
103,108,134
104,186,313
105,44,60
106,39,55
107,190,320
108,41,54
109,249,365
110,182,289
111,196,296
112,67,116
113,232,404
114,151,198
115,210,380
116,141,211
117,185,264
118,239,391
119,217,369
120,250,364
121,161,260
122,244,429
123,211,258
124,158,281
125,163,267
126,145,262
127,18,24
128,178,313
129,144,190
130,195,262
131,189,235
132,161,298
133,197,263
134,97,174
135,119,179
136,219,390
137,240,364
138,234,397
139,165,204
140,242,352
141,201,264
142,31,43
143,218,247
144,247,401
145,221,373
146,85,149
147,208,323
148,185,263
149,88,120
150,190,264
151,51,87
152,84,109
153,63,84
154,130,228
155,69,107
156,158,284
157,105,151
158,146,198
159,240,331
160,18,21
161,139,236
162,196,328
163,137,197
164,105,128
165,59,96
166,229,343
167,213,295
168,30,43
169,131,173
170,228,317
171,116,153
172,204,367
173,206,310
174,156,271
175,80,95
176,28,34
177,79,115
178,189,301
179,128,165
180,47,62
181,187,219
182,17,26
183,193,280
184,205,281
185,149,207
186,135,190
187,16,21
188,216,339
189,111,159
190,212,288
191,90,119
192,61,88
193,105,155
194,147,185
195,156,241
196,63,86
197,88,135
198,204,225
199,186,325
200,148,201
